"ToxPi Score","HClust Group","KMeans Group","Name","Source","Infection Rate: Transmissible Cases!20!0xcc3333ff","Infection Rate: Disease Spread!5!0xe64d4dff","Pop Concentration: Pop Mobility!10!0x57b757ff","Pop Concentration: Residential Density!5!0x5ced5cff","Intervention: Vaccines!15!0x4258c9ff","Intervention: Social Distancing!5!0x6079f7ff","Intervention: Testing!5!0x7d90f3ff","Health & Environment: Hospital Beds!10!0x6b0b9eff","Health & Environment: Hospital Ventilators!10!0x7e24aeff","Health & Environment: Pop Demographics!3!0x933fbfff","Health & Environment: Air Pollution!3!0xa95ad2ff","Health & Environment: Age Distribution!3!0xc177e7ff","Health & Environment: Co-morbidities!3!0xdb95feff","Health & Environment: Health Disparities!3!0xe1a6ffff"
"0.4664996350749467","8","9","Minnesota, Meeker","-94.5284,45.1233","0.4850781318692672","0.4235880809021686","0.538909166869993","0.4355","0.5625744934445769","1.0","0.21841766036090157","0.8712871287128713","0.0","0.1988405058119853","0.2095808383233533","0.5978576089534523","0.2759174537033376","0.05790086197343241"
"0.4664797293955221","8","5","Texas, Fayette","-96.9208,29.8779","0.4801434638104963","0.46128535163687506","0.5075200003230335","0.5861","0.5399284862932062","0.825","0.3513374171081146","0.6336633663366337","0.0","0.5438337857770688","0.39520958083832336","0.6868906660868291","0.25633066072504307","0.25631159278025945"
"0.46647536502906756","8","9","Ohio, Portage","-81.1974,41.1679","0.4656218283832395","0.42962542330682063","0.6187902039792124","0.5403","0.45411203814064366","1.0","0.24890496340593612","0.7425742574257426","0.0","0.3485616630804249","0.5089820359281437","0.5215324091055006","0.33171229189375834","0.22775253849849658"
"0.4664384155559192","10","9","Virginia, Rockbridge","-79.4461,37.812","0.4674277128442144","0.4882093495548452","0.5173080841985238","0.079","0.5852205005959477","1.0","0.3168915977060853","0.7722772277227723","0.0","0.418499680990498","0.33532934131736525","0.7006109322771243","0.2950875272799416","0.3173464962186701"
"0.46634919187032137","9","3","Texas, Kerr","-99.3493,30.0604","0.5040333621261835","0.49175953899648017","0.563731378823775","0.7319","0.533969010727056","1.0","0.3423778697500744","0.3564356435643564","0.0","0.40248246033347135","0.32934131736526945","0.7294045360146626","0.33753293920952493","0.37219191907325294"
"0.4663465472296203","6","6","Florida, Osceola","-81.1488,28.0631","0.5415598448657662","0.4568949086892333","0.6534500540276372","0.5501","0.2753277711561383","1.0","0.19510591539337754","0.7623762376237624","0.0","0.547144758955188","0.3053892215568862","0.452613368495235","0.31846319938448886","0.5446475254007297"
"0.4663398023679749","10","7","Texas, Martin","-101.9514,32.306","0.56242143389663","0.5393612492528027","0.44840800786412705","0.2219","0.7604290822407628","0.5","0.30111648525739526","0.6435643564356436","0.0","0.4406486142150862","0.2694610778443114","0.41912465076501093","0.3142529208253698","0.30568040625180537"
"0.4663055668229692","7","10","Ohio, Knox","-82.4203,40.3983","0.4030589713356566","0.35902948601494944","0.5815606315608364","0.3703","0.6233611442193087","1.0","0.26745205548589823","0.7524752475247525","0.0","0.22163258098025343","0.49101796407185627","0.5627304600978258","0.3564031444269155","0.33311371506782755"
"0.46627857801278305","8","6","New York, Rensselaer","-73.5109,42.7135","0.5040358670539284","0.4818287147203486","0.7135850432757601","0.7498","0.29797377830750893","1.0","0.16902036480330468","0.7722772277227723","0.0","0.4356481837811418","0.3652694610778443","0.5357771420024626","0.25947561972891214","0.1423848194041458"
"0.466250976400449","6","6","Louisiana, Jefferson","-90.1112,29.7408","0.4328130774591398","0.36109388416056726","0.7312670587673238","0.461","0.36233611442193087","1.0","0.281043046481422","0.792079207920792","0.0","0.6209026220047699","0.29940119760479045","0.5380992168517501","0.4107175313185728","0.39242845036746293"
"0.4662036644528986","6","6","Pennsylvania, Montour","-76.6635,41.0302","0.5682536132128577","0.517708938682839","0.6311077121231555","0.7778","0.20262216924910606","1.0","0.21829168207609395","0.8217821782178217","0.0","0.2331158318633882","0.4550898203592814","0.626321192473144","0.2920858939832291","0.09940713968484698"
"0.4661759352902503","8","9","North Carolina, Lincoln","-81.2174,35.4851","0.4805907963195736","0.3988858090279037","0.596267268427052","0.1939","0.5613825983313468","1.0","0.2568589059889261","0.6732673267326732","0.0","0.44024320548127865","0.4670658682634731","0.5561726637917245","0.37672920584798736","0.37361209027618736"
"0.46615506960052533","8","9","North Carolina, Currituck","-75.9588,36.3612","0.5785681537522698","0.5752222591536579","0.5538772773227475","0.0579","0.43504171632896305","1.0","0.34528051345239474","0.7425742574257426","0.0","0.47875700507682584","0.32934131736526945","0.5239446622367122","0.26949288805180643","0.28579377045523113"
"0.4661404550860812","8","9","Kentucky, Marshall","-88.328,36.8801","0.5499671163878497","0.48539304214302076","0.5610760334264661","0.4263","0.49702026221692497","1.0","0.25000511952164745","0.5841584158415841","0.0","0.1552077966628942","0.48502994011976047","0.6441567395133083","0.4300963189574849","0.2516971869443562"
"0.46611493416687183","8","5","Idaho, Bannock","-112.2233,42.67","0.4864859779319353","0.4330664683780556","0.6139352972979758","0.6753","0.5172824791418356","1.0","0.25452439977372493","0.5643564356435643","0.0","0.473960895869022","0.22155688622754494","0.46968620728685795","0.2964569248220043","0.38006075271011563"
"0.4661059401430609","8","5","Washington, Kittitas","-120.6794,47.1252","0.5384245714128765","0.5384029140415614","0.523252024834234","0.5148","0.4946364719904649","0.825","0.27386828846284933","0.7524752475247525","0.0","0.3844836699806856","0.22155688622754494","0.5191044408593759","0.19574554909605285","0.31408504386289476"
"0.46610324123536606","6","6","New Mexico, Doña Ana","-106.8329,32.3528","0.5043149071868519","0.42520604486595753","0.5944400406374546","0.9723","0.2526817640047676","1.0","0.23622938906423266","0.7128712871287128","0.0","0.4794317984404492","0.2874251497005988","0.5092312328105775","0.2684139038948714","0.6195009392919806"
"0.46610079933905724","6","6","Texas, Collin","-96.5726,33.1882","0.5416145301416148","0.5157733041211506","0.7218721432420473","0.1713","0.3384982121573302","1.0","0.2805871244120894","0.8613861386138614","0.0","0.5376952607365821","0.4730538922155689","0.37522787829441234","0.1762603018450373","0.11423972940445946"
"0.4660820461606411","8","6","Oregon, Polk","-123.4129,44.9032","0.4932585918605932","0.4829946850235173","0.6084227801094548","0.5677","0.3825983313468415","1.0","0.2391046234323903","0.7623762376237624","0.0","0.44127710908443596","0.32934131736526945","0.5627304600978258","0.30267675523678467","0.312998054561655"
"0.4659746457155534","8","6","Florida, Palm Beach","-80.4654,26.6468","0.4772107018882213","0.41898483989049345","0.7256501659293754","0.6485","0.3504171632896305","1.0","0.22077585863562046","0.7128712871287128","0.0","0.578723295623587","0.17365269461077848","0.6758588134982833","0.22475327565141132","0.3371702743609442"
"0.4659186355633497","6","9","Michigan, Shiawassee","-84.1459,42.9539","0.5100788936701697","0.44642286528935693","0.5362995145314826","0.1401","0.5232419547079857","1.0","0.26064872355188207","0.8415841584158416","0.0","0.2587832881127391","0.43712574850299407","0.5670390838965326","0.3920387078248106","0.1873337345403779"
"0.46577030602024216","8","5","Illinois, DeKalb","-88.7696,41.8937","0.4906990439401194","0.447995569933676","0.6105283899448761","0.6848","0.46126340882002387","1.0","0.13200167852448924","0.6435643564356436","0.0","0.47357106298230295","0.5449101796407185","0.42544161229202965","0.24057066951392522","0.30856810384617384"
"0.4657582255252302","8","9","Kentucky, Boyle","-84.8634,37.6268","0.530771062289976","0.45953333219448017","0.5822040237188371","0.4155","0.464839094159714","1.0","0.1647699854732762","0.6435643564356436","0.0","0.4308643028600549","0.44910179640718567","0.5837920978957992","0.4065728897129884","0.3067070812720403"
"0.46573187209343514","7","9","Mississippi, Monroe","-88.4808,33.8924","0.4483901208484344","0.3538947741837426","0.5160684921471183","0.3524","0.5351609058402861","1.0","0.4039555940691152","0.6138613861386139","0.0","0.5508121299337928","0.44910179640718567","0.5918944128138512","0.4543077262197745","0.5296907948416999"
"0.46572383668396716","6","6","Florida, Brevard","-80.7309,28.2941","0.4957499778712084","0.4535054498899105","0.6900630433054793","0.3489","0.36829558998808104","1.0","0.26745205548589823","0.7722772277227723","0.0","0.4977368287133195","0.25748502994011974","0.6726459331898672","0.35178920695027477","0.2737630092030146"
"0.46571679448010656","5","2","Kentucky, Metcalfe","-85.6312,36.9946","0.6230950109503527","0.5576519077404403","0.4317104427086778","0.3133","0.6531585220500595","0.825","0.1452909226940685","0.38613861386138615","0.0","0.28171460230042084","0.44910179640718567","0.5775976316230177","0.47156062287216266","0.5292575735903868"
"0.4656784311405424","7","10","Missouri, Lafayette","-93.7808,39.0699","0.4106751920916228","0.3506956589122896","0.5237639152886071","0.5842","0.5911799761620978","1.0","0.21253450678827013","0.7623762376237624","0.0","0.3825068383036499","0.38922155688622756","0.5837920978957992","0.36005760264576075","0.2471176616565039"
"0.4656501828259519","8","7","Minnesota, Hubbard","-94.9169,47.1078","0.5474063802550296","0.5053340031326037","0.511615125267202","0.3266","0.5721096543504173","0.75","0.24502069565045415","0.7722772277227723","0.0","0.3706996258768257","0.2035928143712575","0.6945753055071017","0.29331566969884676","0.12499953068707051"
"0.46564082691249703","6","6","Minnesota, Hennepin","-93.4769,45.0076","0.461153691763839","0.40768498533328806","0.7900959703830556","0.822","0.2562574493444577","1.0","0.1724264123945385","0.8712871287128713","0.0","0.6074815038337296","0.32934131736526945","0.46689449529952165","0.13416010730662822","0.08637562159740557"
"0.4656342649332877","6","1","Texas, La Salle","-99.0991,28.3445","0.6642360501625189","0.5894005370261529","0.46286446510810014","0.8867","0.36829558998808104","0.675","0.2489891839890262","0.5544554455445544","0.0","0.2756007666810137","0.311377245508982","0.48601108590571473","0.2749982722207698","0.5122206059017645"
"0.4655863142575798","6","6","New York, Niagara","-78.7478,43.199","0.4594292393507755","0.41161767188494036","0.7139920699991774","0.4645","0.34564958283671043","1.0","0.21277318753301394","0.8118811881188118","0.0","0.5492252058931479","0.47904191616766467","0.5817386943120182","0.3602801921348223","0.19041933079972986"
"0.46553836694009587","8","7","Kansas, Chautauqua","-96.2454,37.1499","0.48120119414218837","0.4181136123524881","0.423473945483892","0.7313","0.6424314660309892","0.5","0.39651830488016493","0.5247524752475248","0.0","0.5080563666992375","0.3652694610778443","0.7152857337854508","0.4248430697222204","0.5136843777897626"
